,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
9,Lil Uzi Vert,Watch (feat. Lil Uzi Vert & Kanye West),72,0.0372,0.706,217405,0.559,0,4,0.379,-5.216,0,0.0416,78.534,4,0.252
0,G-Eazy,Him & I (with Halsey),80,0.0534,0.589,268867,0.731,0,2,0.308,-6.343,1,0.0868,87.908,4,0.191
1,G-Eazy,"Me, Myself & I",77,0.0186,0.757,251467,0.672,0,0,0.158,-6.524,0,0.0955,111.996,4,0.382
2,G-Eazy,No Limit,71,0.0117,0.838,245387,0.771,0,1,0.0853,-3.791,1,0.244,175.957,4,0.405
3,G-Eazy,1942,75,0.0152,0.817,213080,0.646,0,4,0.125,-5.12,0,0.249,162.898,4,0.835
4,G-Eazy,My Year,73,0.206,0.842,190345,0.808,0,11,0.258,-3.243,0,0.0491,145.03,4,0.705
5,G-Eazy,I Mean It,73,0.125,0.712,236480,0.562,0,10,0.136,-6.008,1,0.129,140.0,4,0.142
6,G-Eazy,Some Kind Of Drug,69,0.0705,0.586,222467,0.525,0,0,0.0729,-8.968,1,0.498,126.51,4,0.491
7,G-Eazy,Drop,67,0.0066,0.858,210545,0.65,2.07e-06,8,0.121,-4.919,1,0.241,147.031,4,0.653
8,G-Eazy,Calm Down,67,0.000175,0.537,127427,0.624,2.2e-06,11,0.116,-8.794,1,0.325,102.315,4,0.409
9,G-Eazy,Good Life (with G-Eazy & Kehlani),63,0.00464,0.565,225526,0.771,0,1,0.0568,-5.22,1,0.213,168.385,4,0.573
0,Martin Garrix,Ocean (feat. Khalid),83,0.584,0.506,216420,0.693,9.58e-05,0,0.0891,-7.265,0,0.0412,139.912,4,0.221
1,Martin Garrix,High On Life (feat. Bonn),82,0.0129,0.414,230762,0.486,0,6,0.111,-6.431,0,0.0311,128.038,4,0.368
2,Martin Garrix,In the Name of Love,80,0.109,0.501,195707,0.519,0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
3,Martin Garrix,Scared to Be Lonely,80,0.0895,0.584,220883,0.54,0,1,0.261,-7.786,0,0.0576,137.972,4,0.195
4,Martin Garrix,Like I Do,56,0.00569,0.667,201560,0.871,0.00655,0,0.165,-4.905,0,0.0343,128.042,4,0.187
5,Martin Garrix,There for You,76,0.124,0.611,221904,0.644,0,6,0.124,-7.607,0,0.0553,105.969,4,0.13
6,Martin Garrix,Burn Out (feat. Dewain Whitmore),76,0.0156,0.594,200322,0.722,0,4,0.0667,-5.751,0,0.0398,127.877,4,0.407
7,Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),74,0.435,0.526,183637,0.52,0,6,0.197,-7.985,0,0.0569,149.119,4,0.13
8,Martin Garrix,Dreamer,71,0.0507,0.532,193399,0.639,0.00131,5,0.106,-7.419,0,0.0388,105.0,4,0.198
9,Martin Garrix,Glitch,68,0.055,0.715,185161,0.792,0.0236,2,0.269,-6.4,0,0.0325,128.024,4,0.357
0,Avicii,Wake Me Up,82,0.00346,0.518,247427,0.784,0.00187,2,0.171,-5.659,1,0.0524,124.102,4,0.588
1,Avicii,Without You (feat. Sandro Cavazza),82,0.0018,0.653,181673,0.863,0,2,0.0406,-4.799,1,0.0457,134.004,4,0.276
2,Avicii,Waiting For Love,78,0.31,0.579,230613,0.736,0,6,0.198,-3.863,0,0.0527,127.999,4,0.613
3,Avicii,Lonely Together (feat. Rita Ora),78,0.176,0.65,181812,0.683,2.82e-05,5,0.0832,-5.284,1,0.0704,102.968,4,0.228
4,Avicii,The Nights,78,0.0166,0.527,176658,0.835,0,6,0.249,-5.298,1,0.0433,125.983,4,0.654
5,Avicii,Hey Brother,77,0.0279,0.537,255093,0.777,6.12e-05,7,0.0838,-4.829,0,0.0473,124.943,4,0.427
6,Avicii,Levels - Radio Edit,57,0.0473,0.578,201933,0.89,0.831,1,0.294,-5.96,0,0.0335,126.046,4,0.468
